image_path,label,crop,label_id
/content/ccmt-dataset_clean/Cashew/leaf miner/leaf miner1260_.jpg,Cashew_leaf_miner,Cashew,3
/content/ccmt-dataset_clean/Maize/leaf spot/leaf spot316_.jpg,Maize_leaf_spot,Maize,15
/content/ccmt-dataset_clean/Cassava/mosaic/mosaic1085_.jpg,Cassava_mosaic,Cassava,9
/content/ccmt-dataset_clean/Cassava/bacterial blight/bacterial blight454_.jpg,Cassava_bacterial_blight,Cassava,5
/content/ccmt-dataset_clean/Cassava/healthy/healthy538_.jpg,Cassava_healthy,Cassava,8
/content/ccmt-dataset_clean/Cashew/healthy/healthy389_.jpg,Cashew_healthy,Cashew,2
/content/ccmt-dataset_clean/Cassava/bacterial blight/bacterial blight1258_.jpg,Cassava_bacterial_blight,Cassava,5
/content/ccmt-dataset_clean/Maize/fall armyworm/fall armyworm273_.jpg,Maize_fall_armyworm,Maize,10
/content/ccmt-dataset_clean/Cashew/gumosis/gumosis358_.jpg,Cashew_gumosis,Cashew,1
/content/ccmt-dataset_clean/Tomato/septoria leaf spot/septoria leaf spot2322_.jpg,Tomato_septoria_leaf_spot,Tomato,20
/content/ccmt-dataset_clean/Cashew/healthy/healthy1164_.jpg,Cashew_healthy,Cashew,2
/content/ccmt-dataset_clean/Cashew/healthy/healthy49_.jpg,Cashew_healthy,Cashew,2
/content/ccmt-dataset_clean/Maize/fall armyworm/fall armyworm40_.jpg,Maize_fall_armyworm,Maize,10
/content/ccmt-dataset_clean/Maize/fall armyworm/fall armyworm84_.jpg,Maize_fall_armyworm,Maize,10
/content/ccmt-dataset_clean/Maize/leaf blight/leaf blight958_.jpg,Maize_leaf_blight,Maize,14
/content/ccmt-dataset_clean/Cassava/green mite/green mite189_.jpg,Cassava_green_mite,Cassava,7
/content/ccmt-dataset_clean/Tomato/septoria leaf spot/septoria leaf spot905_.jpg,Tomato_septoria_leaf_spot,Tomato,20
/content/ccmt-dataset_clean/Cassava/bacterial blight/bacterial blight2178_.jpg,Cassava_bacterial_blight,Cassava,5
/content/ccmt-dataset_clean/Maize/leaf beetle/leaf beetle539_.jpg,Maize_leaf_beetle,Maize,13
/content/ccmt-dataset_clean/Maize/leaf blight/leaf blight611_.jpg,Maize_leaf_blight,Maize,14
/content/ccmt-dataset_clean/Cassava/healthy/healthy906_.jpg,Cassava_healthy,Cassava,8
/content/ccmt-dataset_clean/Maize/leaf beetle/leaf beetle102_.jpg,Maize_leaf_beetle,Maize,13
/content/ccmt-dataset_clean/Cashew/leaf miner/leaf miner732_.jpg,Cashew_leaf_miner,Cashew,3
/content/ccmt-dataset_clean/Maize/grasshoper/grasshoper660_.jpg,Maize_grasshoper,Maize,11
/content/ccmt-dataset_clean/Cassava/brown spot/brown spot1106_.jpg,Cassava_brown_spot,Cassava,6
/content/ccmt-dataset_clean/Cassava/green mite/green mite576_.jpg,Cassava_green_mite,Cassava,7
/content/ccmt-dataset_clean/Cassava/brown spot/brown spot1027_.jpg,Cassava_brown_spot,Cassava,6
/content/ccmt-dataset_clean/Tomato/leaf blight/leaf blight968_.jpg,Tomato_leaf_blight,Tomato,18
/content/ccmt-dataset_clean/Cashew/leaf miner/leaf miner677_.jpg,Cashew_leaf_miner,Cashew,3
/content/ccmt-dataset_clean/Cashew/healthy/healthy128_.jpg,Cashew_healthy,Cashew,2
/content/ccmt-dataset_clean/Cassava/mosaic/mosaic1161_.jpg,Cassava_mosaic,Cassava,9
/content/ccmt-dataset_clean/Cashew/red rust/red rust1354_.jpg,Cashew_red_rust,Cashew,4
/content/ccmt-dataset_clean/Tomato/leaf blight/leaf blight1019_.jpg,Tomato_leaf_blight,Tomato,18
/content/ccmt-dataset_clean/Maize/leaf beetle/leaf beetle151_.jpg,Maize_leaf_beetle,Maize,13
/content/ccmt-dataset_clean/Cassava/mosaic/mosaic436_.jpg,Cassava_mosaic,Cassava,9
/content/ccmt-dataset_clean/Cassava/bacterial blight/bacterial blight1861_.jpg,Cassava_bacterial_blight,Cassava,5
